waypoint1	waypoint2	distance_m	duration_s
43.65778255,-79.37640539	43.66832403,-79.38224666	1967	479
43.68398955,-79.37450661	43.65778255,-79.37640539	3844	572
43.65778255,-79.37640539	43.68407748,-79.38395673	5196	664
43.65778255,-79.37640539	43.66256512,-79.39148642	2061	518
43.65778255,-79.37640539	43.66745602,-79.39072946	2225	550
43.660377,-79.37101	43.65778255,-79.37640539	837	218
43.65778255,-79.37640539	43.67404953,-79.36849333	2552	515
43.67999165,-79.37086759	43.65778255,-79.37640539	3426	582
43.65778255,-79.37640539	43.66890795,-79.38420594	1676	503
43.68398955,-79.37450661	43.66832403,-79.38224666	2496	324
43.66832403,-79.38224666	43.68407748,-79.38395673	3847	416
43.66256512,-79.39148642	43.66832403,-79.38224666	1299	306
43.66832403,-79.38224666	43.66745602,-79.39072946	856	280
43.660377,-79.37101	43.66832403,-79.38224666	1710	355
43.67404953,-79.36849333	43.66832403,-79.38224666	1681	332
43.67999165,-79.37086759	43.66832403,-79.38224666	2077	335
43.66890795,-79.38420594	43.66832403,-79.38224666	316	136
43.68398955,-79.37450661	43.68407748,-79.38395673	2741	345
43.68398955,-79.37450661	43.66256512,-79.39148642	3551	646
43.68398955,-79.37450661	43.66745602,-79.39072946	2858	564
43.660377,-79.37101	43.68398955,-79.37450661	2992	536
43.68398955,-79.37450661	43.67404953,-79.36849333	1765	272
43.68398955,-79.37450661	43.67999165,-79.37086759	755	123
43.68398955,-79.37450661	43.66890795,-79.38420594	2318	420
43.66256512,-79.39148642	43.68407748,-79.38395673	3272	519
43.66745602,-79.39072946	43.68407748,-79.38395673	2579	438
43.660377,-79.37101	43.68407748,-79.38395673	3250	456
43.67404953,-79.36849333	43.68407748,-79.38395673	2905	360
43.67999165,-79.37086759	43.68407748,-79.38395673	1538	212
43.66890795,-79.38420594	43.68407748,-79.38395673	2039	294
43.66256512,-79.39148642	43.66745602,-79.39072946	1075	263
43.660377,-79.37101	43.66256512,-79.39148642	2369	576
43.67404953,-79.36849333	43.66256512,-79.39148642	2718	636
43.67999165,-79.37086759	43.66256512,-79.39148642	3338	661
43.66890795,-79.38420594	43.66256512,-79.39148642	1580	462
43.660377,-79.37101	43.66745602,-79.39072946	3061	643
43.67404953,-79.36849333	43.66745602,-79.39072946	2663	590
43.67999165,-79.37086759	43.66745602,-79.39072946	3148	679
43.66890795,-79.38420594	43.66745602,-79.39072946	1672	488
43.660377,-79.37101	43.67404953,-79.36849333	1982	417
43.660377,-79.37101	43.67999165,-79.37086759	2786	535
43.660377,-79.37101	43.66890795,-79.38420594	1991	494
43.67999165,-79.37086759	43.67404953,-79.36849333	1559	256
43.66890795,-79.38420594	43.67404953,-79.36849333	1709	358
43.67999165,-79.37086759	43.66890795,-79.38420594	2112	451
